n_params,acc,auc
2358,0.6744,0.6795
3935,0.6910,0.5916
5516,0.75,0.7297
6308,0.6167,0.6610
7101,0.8,0.7338
8690,0.668,0.7036
9486,0.7487,0.6190
10283,0.7603,0.6405
11081,0.7641,0.7288
13481,0.6449,0.5224
14283,0.6051,0.4877
15086,0.7744,0.6155
15890,0.7628,0.5821

#_se2286980494_h10_solAdvantage_system4.1_sc100_b1.0_e20_bs73_l0.4529451796571889_rFalse_datapneumoniamnist_n_second_pneu
