n_params,acc,auc
13481,0.8306,0.7902
12680,0.8284,0.7794
11880,0.7901,0.7992
10283,0.8423,0.8044
8690,0.8510,0.8208
7101,0.7559,0.6770
6308,0.8298,0.7891
5516,0.821,0.8275
4725,0.8412,0.8082
3935,0.5450,0.5818
2359,0.8309,0.7845
1571,0.5216,0.541
