n_params,acc,auc
1571,0.3298,0.5486
2358,0.9405,0.9123
3935,0.3811,0.5832
4725,0.9372,0.9285
5516,0.8655,0.8975
6308,0.9323,0.9130
7101,0.9118,0.8417
8690,0.9334,0.9385
10283,0.9424,0.9140
11880,0.6599,0.7697
12680,0.9468,0.9225
13481,0.9282,0.9335
